name,id,u,v,length
Avenue de l'Annonciade,4230113,25243184,5898780719,30.41
Avenue de l'Annonciade,4230113,5898780719,21932570,3.85
Avenue de l'Annonciade,4230113,21932570,5898780718,4.463
Avenue de l'Annonciade,4230113,5898780718,25243183,3.587
Avenue de l'Annonciade,4230113,25243183,5898780717,4.158
Avenue de l'Annonciade,4230113,5898780717,25238528,4.05
Avenue de l'Annonciade,4230113,25238528,21921471,4.001
Avenue de l'Annonciade,4230113,21921471,5898780716,3.692
Avenue de l'Annonciade,4230113,5898780716,5898780715,3.841
Avenue de l'Annonciade,4230113,5898780715,25238530,4.674
Avenue de l'Annonciade,4230113,25238530,25243200,14.963
Avenue de l'Annonciade,4230113,25243200,1871563580,18.652
Avenue de l'Annonciade,4230113,1871563580,1871563582,3.861
Avenue de l'Annonciade,4230113,1871563582,1871563610,5.533
Avenue de l'Annonciade,4230113,1871563610,1871563613,6.301
Avenue de l'Annonciade,4230113,1871563613,1871563617,5.253
Avenue de l'Annonciade,4230113,1871563617,1871563619,6.339
Avenue de l'Annonciade,4230113,1871563619,1871563622,8.073
Avenue de l'Annonciade,4230113,1871563622,11157427289,5.089
Avenue de l'Annonciade,4230113,11157427289,21921299,4.523
Boulevard du Tenao,4230114,21921299,7790532585,17.686
Boulevard du Tenao,4230114,7790532585,25243191,6.949
Boulevard du Tenao,4230114,25243191,7790532586,7.891
Boulevard du Tenao,4230114,7790532586,21922146,25.517
Boulevard du Tenao,4230114,21922146,7790521284,12.247
Boulevard du Tenao,4230114,7790521284,7790532589,8.981
Boulevard du Tenao,4230114,7790532589,25243192,6.796
Boulevard du Tenao,4230114,25243192,7790532588,6.802
Boulevard du Tenao,4230114,7790532588,7790532587,7.695
Boulevard du Tenao,4230114,7790532587,25243193,4.788
Boulevard du Tenao,4230114,25243193,7790532590,4.638
Boulevard du Tenao,4230114,7790532590,21922088,6.253
Boulevard du Tenao,4230114,21922088,7790532591,6.148
Boulevard du Tenao,4230114,7790532591,25243194,6.681
Boulevard du Tenao,4230114,25243194,7790532592,6.274
Boulevard du Tenao,4230114,7790532592,25243195,5.601
Boulevard du Tenao,4230114,25243195,7790532593,7.156
Boulevard du Tenao,4230114,7790532593,21922076,6.268
Boulevard du Tenao,4230114,21922076,7790532594,6.184
Boulevard du Tenao,4230114,7790532594,3423478281,5.515
Boulevard du Tenao,4230114,3423478281,7790532595,4.311
Boulevard du Tenao,4230114,7790532595,25243196,13.506
Boulevard du Tenao,4230114,25243196,25243197,13.643
Boulevard du Tenao,4230114,25243197,25243199,11.308
Boulevard du Tenao,4230114,25243199,3625063392,12.791
Boulevard du Tenao,4230114,3625063392,7790532596,5.264
Boulevard du Tenao,4230114,7790532596,21922066,4.712
Boulevard du Tenao,4230114,21922066,7790532597,4.507
Boulevard du Tenao,4230114,7790532597,7790532598,4.854
Boulevard du Tenao,4230114,7790532598,25243198,5.601
Boulevard du Tenao,4230114,25243198,7790532599,7.147
Boulevard du Tenao,4230114,7790532599,7790532600,8.992
Boulevard du Tenao,4230114,7790532600,21922039,4.131
Boulevard du Tenao,4230114,21922039,7790532601,4.816
Boulevard du Tenao,4230114,7790532601,1080509801,22.632
Boulevard du Tenao,4230114,1080509801,1868723935,26.089
Boulevard du Tenao,4230114,1868723935,7790532602,11.345
Boulevard du Tenao,4230114,7790532602,1868723927,2.995
Boulevard du Tenao,4230114,1868723927,1868723946,3.736
Chemin des Oeillets,4230115,25185803,25185930,6.143
Chemin des Oeillets,4230115,25185930,25185938,9.812
Chemin des Oeillets,4230115,25185938,25185945,3.867
Chemin des Oeillets,4230115,25185945,1685146319,4.883
Chemin des Oeillets,4230115,1685146319,25185962,21.437
Chemin des Oeillets,4230115,25185962,25185541,19.822
,4230116,25185994,25185984,7.948
,4230116,25185984,25185973,23.606
,4230116,25185973,25185945,5.582
,4230117,25185452,25186027,5.528
,4230117,25186027,25186019,7.302
,4230117,25186019,25186010,22.243
,4230117,25186010,25186002,35.934
,4230117,25186002,25185994,5.5
